aX,aY,aZ,gX,gY,gZ
0.161,0.408,2.005,-24.902,351.746,106.995
0.290,0.448,1.817,9.216,378.418,56.885
0.414,0.383,1.516,42.480,387.634,9.644
0.470,0.229,1.155,72.937,382.202,-26.062
0.457,0.067,0.796,92.468,362.244,-46.692
0.414,-0.051,0.491,102.356,326.660,-59.448
0.341,-0.139,0.269,109.375,275.818,-73.181
0.234,-0.236,0.119,111.023,217.468,-85.876
0.120,-0.330,0.035,106.812,160.156,-91.675
0.025,-0.405,0.014,99.365,107.727,-92.407
-0.052,-0.474,0.023,86.670,59.692,-92.163
-0.118,-0.550,0.075,69.641,16.479,-90.515
-0.190,-0.631,0.166,50.171,-18.860,-85.144
-0.272,-0.704,0.288,28.625,-42.908,-73.792
-0.338,-0.734,0.433,10.681,-56.213,-57.922
-0.381,-0.719,0.570,0.244,-62.927,-41.748
-0.399,-0.683,0.688,-3.418,-65.369,-27.893
-0.414,-0.643,0.782,-0.732,-63.843,-16.357
-0.431,-0.610,0.847,6.531,-57.495,-7.324
-0.440,-0.590,0.879,15.564,-47.180,-0.793
-0.452,-0.573,0.906,23.987,-36.011,4.028
-0.468,-0.547,0.932,28.748,-23.804,6.226
-0.472,-0.528,0.930,26.367,-9.338,5.554
-0.457,-0.521,0.898,20.630,3.601,3.174
-0.434,-0.519,0.853,14.038,11.353,0.305
-0.413,-0.515,0.802,7.935,14.160,-2.258
-0.393,-0.506,0.755,3.723,12.817,-4.456
-0.380,-0.497,0.721,2.502,7.996,-6.287
-0.379,-0.496,0.711,5.005,1.404,-7.385
-0.384,-0.503,0.715,7.507,-4.089,-6.592
-0.387,-0.507,0.726,8.972,-7.629,-4.639
-0.391,-0.507,0.746,10.681,-10.376,-2.625
-0.401,-0.500,0.765,11.902,-11.353,-0.732
-0.408,-0.492,0.777,11.414,-10.193,0.977
-0.404,-0.496,0.785,10.132,-8.484,2.747
-0.401,-0.502,0.795,9.705,-7.629,3.967
-0.405,-0.495,0.809,8.667,-6.470,5.005
-0.413,-0.480,0.831,9.521,-4.150,5.676
-0.423,-0.459,0.856,12.817,0.000,5.737
-0.426,-0.443,0.864,15.381,6.042,5.066
-0.426,-0.446,0.849,16.541,11.658,3.662
