aX,aY,aZ,gX,gY,gZ
0.714,0.068,1.162,199.890,-112.000,-283.203
0.723,0.008,1.204,180.481,-123.291,-296.204
0.696,-0.085,1.274,167.908,-125.488,-293.823
0.677,-0.138,1.375,174.744,-117.676,-278.687
0.616,-0.110,1.528,185.425,-103.577,-263.977
0.546,-0.055,1.749,183.472,-80.200,-253.113
0.475,-0.054,1.956,168.762,-45.532,-242.920
0.381,-0.076,2.105,142.090,-2.014,-235.962
0.267,-0.073,2.235,99.670,46.570,-239.502
0.160,-0.097,2.318,41.443,103.455,-248.840
0.133,-0.131,2.325,-17.700,166.809,-253.540
0.238,-0.111,2.224,-71.472,224.731,-249.146
0.431,-0.081,1.986,-113.831,265.198,-235.107
0.574,-0.096,1.678,-120.850,284.851,-211.304
0.610,-0.116,1.399,-97.412,284.302,-179.810
0.542,-0.132,1.186,-63.293,270.935,-144.836
0.416,-0.160,1.035,-32.898,250.977,-112.549
0.311,-0.185,0.923,-14.832,225.647,-86.365
0.230,-0.189,0.837,-9.949,196.167,-64.697
0.145,-0.173,0.784,-16.663,166.382,-46.875
0.049,-0.161,0.766,-31.311,138.733,-32.593
-0.047,-0.124,0.775,-46.082,117.004,-21.545
-0.106,-0.041,0.782,-59.753,99.670,-15.137
-0.116,0.059,0.774,-66.650,81.543,-13.733
-0.141,0.119,0.769,-61.279,63.416,-15.686
-0.190,0.103,0.779,-46.143,49.500,-15.442
-0.227,0.055,0.808,-29.785,41.687,-10.376
-0.264,0.010,0.837,-19.714,39.246,-2.808
-0.288,-0.017,0.853,-13.794,39.917,3.418
-0.285,-0.012,0.854,-12.268,40.771,7.019
-0.281,0.016,0.836,-14.038,39.673,7.874
-0.284,0.036,0.810,-16.785,36.011,5.737
-0.283,0.046,0.783,-19.104,31.677,2.930
-0.287,0.042,0.753,-20.813,26.001,0.061
-0.292,0.010,0.731,-21.301,20.081,-1.465
-0.286,-0.016,0.714,-22.400,14.221,-0.183
-0.280,-0.024,0.693,-23.987,6.775,2.380
-0.277,-0.027,0.674,-23.743,-1.770,5.188
-0.274,-0.012,0.667,-21.545,-10.681,8.911
-0.280,0.013,0.677,-17.395,-18.616,11.414
-0.295,0.030,0.707,-12.756,-23.499,12.268
-0.308,0.046,0.739,-9.705,-26.306,12.939
-0.316,0.056,0.769,-7.629,-28.015,12.939
-0.325,0.057,0.795,-6.409,-28.625,12.146
-0.329,0.059,0.815,-6.348,-28.687,11.169
-0.329,0.071,0.837,-6.042,-27.954,9.705
-0.334,0.079,0.860,-5.676,-26.123,7.446
-0.334,0.073,0.880,-4.944,-23.865,5.493
-0.332,0.070,0.894,-4.333,-21.240,4.272
-0.328,0.070,0.901,-4.822,-19.409,2.808
-0.329,0.068,0.907,-4.456,-17.883,0.671
-0.336,0.067,0.914,-4.333,-16.541,-1.587
-0.334,0.059,0.926,-5.493,-15.808,-3.296
-0.328,0.045,0.940,-7.263,-15.320,-4.456
-0.327,0.026,0.952,-9.827,-15.198,-4.944
-0.325,0.004,0.962,-11.780,-14.893,-4.517
-0.321,-0.007,0.970,-12.451,-14.282,-2.747
-0.320,-0.009,0.976,-12.451,-14.160,-0.549
-0.320,-0.005,0.983,-10.864,-13.611,1.160
-0.321,0.004,0.994,-8.667,-12.390,1.953
-0.323,0.009,1.006,-7.080,-10.498,1.953
-0.327,0.014,1.016,-5.371,-7.996,1.282
-0.329,0.016,1.018,-3.845,-5.554,0.244
-0.323,0.009,1.013,-2.136,-3.418,-0.183
-0.318,0.001,1.004,-0.916,-1.831,-0.305
-0.317,-0.009,0.994,-0.610,-0.977,-0.610
-0.316,-0.020,0.987,-0.732,-0.732,-1.038
